traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8140412	fd8da90c749dfb5ddb23f7146f4520a72040f5ca0c78817735840c3bec42abdc	2017-10-07	STP	2017-10-26	OSL	SMI	Greece	2017-11-02	246	2	0
8751763	54ab12fdd9bf412c04ea7634e3ba3759b4d2985f6c0a92b446668a121b24ce4f	2018-08-25	STP	2018-10-10	ARN	LCA	Cyprus	2018-10-17	997	2	0
8060564	55e85e5b78f0485ff7b1cdf6cb08efb83a51b5bf94be18887c7224f44a7b8899	2017-09-01	STP	2017-10-14	HEL	MAH	Spain	2017-10-21	246	2	0
7904040	7cc97a688c14ceb228420421ff56d7eae2abee7c301993c00b9b8874d4bb5fa8	2017-06-17	STP	2017-09-27	ARN	LPA	Spain	2017-10-04	246	2	2
7185913	aef37dad2b74c92ed92dee5e730ca856eaa4ec7c6202941dc50bac0c30cfcd76	2018-02-15	STP	2018-07-10	HEL	RHO	Greece	2018-07-17	246	2	0
7937875	e67a68ce10fb977a3137c5d8a6238c9d907a9d2c4941dce21385e0a0dfa5cad9	2017-07-05	STP	2017-08-29	CPH	RHO	Greece	2017-09-12	246	2	0
7967461	0f61a12ef032153e73d9c55f0a3cf03790962a733b80af38a915088522391223	2017-07-17	STP	2017-09-28	GOT	PMI	Spain	2017-10-05	246	3	0
8785779	f5ea33dc6fe8f2e098eb70a2e1998f25d19e910654fb0c525b8ff350c3aa88ee	2018-09-12	STP	2018-09-19	HEL	BOJ	Bulgaria	2018-09-26	246	1	1
8659811	6f3b1ffff249287cc7f18b6e580caf24b733a8cf4c74ad6903a3cb663a0880fa	2018-07-09	STP	2018-07-26	GOT	AYT	Turkey	2018-08-02	246	2	0
7882754	ed31a5baa5cebb661964ada5c31d0d81780445e8e12e2f6825e07279cb128dd5	2017-06-04	SOB	2017-09-18	HEL	PMI	Spain	2017-09-25	246	1	0
7985762	f12da1f271d304e5ca2b7919d3447117804fa0dd8b3c21be89a49ef2cb366503	2017-07-25	STP	2017-09-25	HEL	PMI	Spain	2017-10-02	246	2	0
8051391	21c4324b019a0409059d3131481035efb72763079ddbccd8e53eb362dc898525	2017-08-28	STP	2017-10-22	ARN	LCA	Cyprus	2017-10-29	246	2	0
7843765	2d9a1e2932d2dd3539fd9cde295614cf99644073941f15dfcedebbfd63b89c5e	2017-05-13	STP	2017-06-17	ARN	RHO	Greece	2017-06-24	246	2	2
8434243	f200f8aff4bf3df3cd03acfb8f105567f070de0ca8b532527efb55f1dcde80e0	2018-03-17	STP	2018-09-29	ARN	AYT	Turkey	2018-10-13	246	1	0
7614548	8416a881a525a0182b389397d770b3d7bdcb575a9845eabbec8b91e15d55289e	2017-01-26	STP	2017-07-04	ARN	CHQ	Greece	2017-07-11	246	2	2
8595906	3bebfe1d9821d518052f6839668faf06e4d2622875e2dfa8d8f17247412748ef	2018-06-03	STP	2018-08-27	OSL	PMI	Spain	2018-09-10	246	2	0
8360458	9ddd7d4561a698549c642a8569ffe5dc474fba486ba07231f1c7a9557a364a2e	2018-02-17	STP	2018-06-22	OSL	ZTH	Greece	2018-06-29	246	1	0
7907849	0dabc9e5c3a7473e1e5ac752363fd7117bb6c116a72febcca8b8c128080f5ae2	2017-06-19	STP	2017-07-16	OSL	PMI	Spain	2017-07-23	246	2	0
